_uf;_label;_level;estab_total;area_ha_total;estab_individual;area_ha_individual;estab_soc_condominio;area_ha_soc_condominio;confianca
AC;TOTAIS;total;35049.0;5234764.0;23723.0;3497527.0;3200.0;799829.0;alta
AC;ACRE;mesorregiao;35049.0;5234764.0;23723.0;3497527.0;3200.0;799829.0;alta
AC;ALTO JURUA;microrregiao;13909.0;2441804.0;9330.0;1678700.0;1781.0;458428.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;446502.0;4600.0;310290.0;369.0;31585.0;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;881.0;60514.0;62.0;6606.0;alta
AC;TARAUACA;municipio;4328.0;578272.0;2778.0;357552.0;496.0;52890.0;alta
AC;ALTO PURUS;microrregiao;21140.0;2792959.0;14393.0;1419.0;1400.0;;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;127.0;8824.0;38.0;5836.0;alta
AC;BRASILEIA;municipio;2482.0;248395.0;2225.0;223732.0;113.0;2654.0;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;81.0;6464.0;41.0;4324.0;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;294448.0;2519.0;201398.0;;565.0;alta
AC;SENADOR GUIOMARO;municipio;2264.0;227405.0;1132.0;101040.0;14.0;2108.0;alta
AC;SENA MADUREIRA;municipio;4401.0;678234.0;2117.0;279843.0;855.0;221500.0;alta
AC;XAPURI;municipio;1868.0;443678.0;1386.0;344311.0;326.0;62151.0;alta
AP;TOTAIS;total;4816.0;1208021.0;1317.0;508959.0;51.0;35023.0;alta
AP;AMAPA;mesorregiao;4816.0;1208021.0;1317.0;508959.0;51.0;35023.0;alta
AP;MACAPA;microrregiao;3667.0;692397.0;1051.0;282405.0;50.0;23023.0;alta
AP;MACAPA;municipio;2497.0;599928.0;954.0;264339.0;;1530.0;alta
AP;MAZAGÃO;municipio;1170.0;92468.0;97.0;18065.0;44.0;21.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;515624.0;266.0;226553.0;;12000.0;alta
AP;AMAPA;municipio;633.0;470307.0;216.0;214895.0;;12000.0;alta
AP;CALÇOENE;municipio;217.0;39627.0;13.0;8208.0;;;alta
AP;OIAPOOUE;municipio;299.0;5689.0;37.0;3450.0;;;alta
BA;TOTAIS;total;739006.0;33431403.0;697124.0;28066788.0;20141.0;2211931.0;baixa
BA;OESTE BAIANO;mesorregiao;300262.0;16616115.0;281126.0;12930050.0;8233.0;1353346.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;23844.0;4346772.0;21609.0;2988961.0;1069.0;553055.0;alta
BA;ANGICAL;municipio;1942.0;171235.0;1719.0;101221.0;40.0;1334.0;alta
BA;BAIANOPOLIS;municipio;1321.0;121278.0;1229.0;108730.0;85.0;7427.0;alta
BA;BARREIRAS;municipio;2039.0;507128.0;1803.0;437486.0;178.0;37105.0;alta
BA;BREJOLANDIA;municipio;1692.0;173994.0;1619.0;162448.0;10.0;10495.0;alta
BA;CATOLANDIA;municipio;661.0;44248.0;544.0;40279.0;108.0;3637.0;alta
BA;COTEGIPE;municipio;1916.0;627911.0;1804.0;518429.0;87.0;47248.0;alta
BA;CRISTOPOLIS;municipio;1570.0;64298.0;1448.0;59201.0;119.0;5070.0;alta
BA;FORMOSA DO RIO PRETO;municipio;1622.0;1102702.0;1224.0;476318.0;218.0;377848.0;alta
BA;RIACHÂO DAS NEVES;municipio;2242.0;253661.0;2081.0;201636.0;40.0;19465.0;alta
BA;SANTA RITA DE CASSIA;municipio;3534.0;459202.0;3304.0;325746.0;82.0;28915.0;alta
BA;SÃO DESIDERIO;municipio;3123.0;751577.0;2675.0;488451.0;93.0;14431.0;alta
BA;TABOCAS DO BREJO VELHO;municipio;2182.0;69532.0;2159.0;69010.0;;75.0;alta
BA;CHAPADÕES;microrregiao;18907.0;1772865.0;17537.0;1243755.0;688.0;295026.0;baixa
BA;CANAPOLIS;municipio;1530.0;38894.0;1507.0;38556.0;13.0;291.0;baixa
BA;cocos';municipio;1970.0;1619.0;189058.0;76.0;83651.0;;baixa
BA;CORIBE;municipio;2224.0;274962.0;2168.0;250226.0;26.0;6795.0;baixa
BA;CORRENT INA;municipio;3947.0;605110.0;3468.0;263639.0;213.0;193984.0;baixa
BA;SANTA MARIA DA VITORIA;municipio;3368.0;205408.0;3019.0;198440.0;320.0;2755.0;baixa
BA;SANTANA;municipio;2985.0;171523.0;2883.0;156897.0;38.0;7520.0;baixa
BA;SERRA DOURADA;municipio;2883.0;156976.0;2873.0;146936.0;;28.0;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;39076.0;2023955.0;34261.0;1581307.0;876.0;146959.0;media
BA;BARRA;municipio;7527.0;55.0;5686.0;300840.0;290.0;20867.0;media
BA;CAMPO ALEGRE DE LOURDES;municipio;3659.0;464466.0;3263.0;396562.0;388.0;43374.0;media
BA;CASA NOVA;municipio;6896.0;91668.0;6839.0;87920.0;12.0;2130.0;media
BA;IBOTIRAMA;municipio;1523.0;135345.0;967.0;125280.0;;1475.0;media
BA;MORPARA;municipio;982.0;74837.0;971.0;74565.0;;;media
BA;PI LÂO ARCADO;municipio;5474.0;53643.0;5292.0;52814.0;81.0;293.0;media
BA;REMANSO;municipio;3960.0;142330.0;3846.0;136482.0;35.0;1525.0;media
BA;SENTO SE;municipio;5025.0;90662.0;4815.0;88645.0;;41.0;media
BA;XIOUE-XIOUE;municipio;4030.0;400145.0;2582.0;318195.0;62.0;76252.0;media
BA;MEDIO SÂO FRANCISCO;microrregiao;17214.0;1339975.0;15071.0;996020.0;382.0;119196.0;baixa
BA;BOM JESUS DA LAPA;municipio;8635.0;665720.0;7136.0;374398.0;119.0;97871.0;baixa
BA;CARINHANHA;municipio;2505.0;257239.0;2114.0;240565.0;77.0;640.0;baixa
BA;MALHADA;municipio;2728.0;316414.0;294158.0;32.0;6319.0;;baixa
BA;PARATINGA;municipio;3346.0;100604.0;3150.0;86897.0;154.0;13365.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;32426.0;198336.0;31938.0;1047455.0;172.0;11446.0;baixa
BA;BARRA DO MENDES;municipio;1903.0;157916.0;1874.0;47367.0;24.0;2518.0;baixa
BA;CAF ARNAUM;municipio;2364.0;44332.0;2319.0;43593.0;18.0;116.0;baixa
BA;CANARANA;municipio;3791.0;77956.0;3736.0;77040.0;;66.0;baixa
BA;CENTRAL;municipio;1564.0;27137.0;1561.0;27131.0;;;baixa
BA;GENTIO;municipio;2480.0;65627.0;2311.0;48183.0;11.0;3314.0;baixa
BA;IBIPEBA;municipio;275.0;81756.0;2264.0;70482.0;;53.0;baixa
BA;IBITITA;municipio;2344.0;36773.0;2339.0;36686.0;;54.0;baixa
BA;IRECE;municipio;6749.0;246909.0;6647.0;241997.0;69.0;3103.0;baixa
BA;CIMENTOS CIMENTOS CIMENTOS;municipio;;;;;;;baixa
BA;JUSSARA;microrregiao;1130.0;35304.0;;12.0;179.0;;baixa
BA;MORRO;microrregiao;2696.0;339585.0;;;1642.0;;baixa
BA;PRESIDENTE OUTRA;microrregiao;1473.0;16895.0;;;;;baixa
BA;SOUTO SOARES;microrregiao;2103.0;40383.0;;15.0;390.0;;baixa
BA;UIBAI;microrregiao;1552.0;27759.0;;;;;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;mesorregiao;65612.0;2462016.0;;2427.0;94474.0;;alta
BA;ABAIRA;microrregiao;1550.0;20443.0;;70.0;1036.0;;alta
BA;AGUA QUENTE;microrregiao;1002.0;9060.0;;;;;alta
BA;ANDARA(;microrregiao;2908.0;145684.0;;70.0;7489.0;;alta
BA;BARRA DA ESTIVA;microrregiao;1724.0;71372.0;;14.0;1295.0;;alta
BA;BONINAL;microrregiao;1621.0;27348.0;;208.0;2666.0;;alta
BA;BOQUIRA;microrregiao;3068.0;37755.0;;65.0;1817.0;;alta
BA;BOTUPORÃ;microrregiao;4756.0;79541.0;;114.0;3102.0;;alta
BA;BROTAS DE MACAUBAS;microrregiao;2639.0;59603.0;;;44.0;;alta
BA;CONTENDAS DO SINCORA;microrregiao;662.0;72502.0;;112.0;2227.0;;alta
BA;IBICOARA;microrregiao;57.0;56437.0;;;906.0;;alta
BA;(BIPITANGA;microrregiao;2193.0;34356.0;;97.0;1047.0;;alta
BA;IBITIARA;microrregiao;4840.0;58012.0;;159.0;1612.0;;alta
BA;IPUPIARA;microrregiao;1141.0;49844.0;;21.0;1065.0;;alta
BA;IRAMAIA;microrregiao;1130.0;153651.0;;62.0;17288.0;;alta
BA;IRAQUARA;microrregiao;2651.0;59078.0;;153.0;3452.0;;alta
BA;ITAETE;microrregiao;1223.0;107127.0;;88.0;10354.0;;alta
BA;ITUAÇU;microrregiao;2092.0;67217.0;;48.0;3409.0;;alta
BA;JUSSIAPE;microrregiao;1361.0;25969.0;;;203.0;;alta
BA;LENÇOIS;microrregiao;307.0;43842.0;;;2535.0;;alta
BA;MACAUBAS;microrregiao;5538.0;87493.0;;66.0;1830.0;;alta
BA;MUCUGE;microrregiao;1074.0;69029.0;;89.0;5859.0;;alta
BA;OLIVEIRA DOS BREJINHOS;microrregiao;3115.0;141904.0;;80.0;3531.0;;alta
BA;PALMEIRAS;microrregiao;556.0;25453.0;;39.0;954.0;;alta
BA;PARAMIRIM;microrregiao;3901.0;62495.0;;188.0;4190.0;;alta
BA;PIATÃ;microrregiao;3645.0;45640.0;;119.0;1661.0;;alta
BA;RIO DE CONTAS;microrregiao;1750.0;46352.0;;101.0;2465.0;;alta
BA;SEABRA;microrregiao;3304.0;63543.0;;44.0;563.0;;alta
BA;TANHAÇU;microrregiao;1639.0;95078.0;;308.0;7473.0;;alta
BA;UTINGA;microrregiao;1130.0;585978.0;;41.0;3604.0;;alta
BA;WAGNER;microrregiao;222.0;38414.0;;;91.0;;alta
BA;SERRA GERAL DA BAHIA;mesorregiao;61771.0;2270595.0;;1923.0;74347.0;;baixa
BA;ARACATU;microrregiao;2308.0;107733.0;;159.0;3693.0;;baixa
BA;BRUMADO;microrregiao;3343.0;131906.0;;84.0;4214.0;;baixa
BA;CACULE;microrregiao;1715.0;51936.0;;;;;baixa
BA;CAETITE;microrregiao;6145.0;183993.0;;171.0;5025.0;;baixa
BA;CANOIBA;microrregiao;134.0;34023.0;;14.0;583.0;;baixa
BA;CONDEUBA;microrregiao;3101.0;39247.0;;50.0;1441.0;;baixa
BA;CORDEIROS;microrregiao;979.0;36114.0;;93.0;2108.0;;baixa
BA;DOM BASILIO;microrregiao;1533.0;32043.0;;;186.0;;baixa
BA;GUANAMBI;microrregiao;4354.0;109519.0;;96.0;1497.0;;baixa
BA;IBIASSUCE;microrregiao;1433.0;47026.0;;23.0;220.0;;baixa
BA;IGAPORÃ;microrregiao;1239.0;51945.0;;43.0;1065.0;;baixa
BA;JACARACI;microrregiao;2511.0;116009.0;;98.0;2955.0;;baixa
BA;LICINIO DE ALMEIDA;microrregiao;1459.0;68478.0;;133.0;312.0;;baixa
BA;LIVRAMENTO DO BRUMADO;microrregiao;3201.0;99736.0;;18.0;2108.0;;baixa
BA;MALHADA DE PEDRAS;microrregiao;1477.0;40836.0;;;45.0;;baixa
BA;MORTUGABA;microrregiao;1393.0;37564.0;;47.0;888.0;;baixa
BA;PALMAS DE MONTE ALTO;microrregiao;2118.0;192846.0;;25.0;12486.0;;baixa
BA;PINDAI;microrregiao;3139.0;56493.0;;139.0;1750.0;;baixa
BA;CIMENTOS CIMENTOS CIMENTOS CIMENTOS CIMENTOS;mesorregiao;;;;;;;baixa
BA;PIRIPA;microrregiao;30909.0;1049.0;28.0;;;;baixa
BA;PRESIDENTE .JANIO QUADROS;microrregiao;78458.0;2442.0;56.0;;;;baixa
BA;RIACHO DE SANTANA;microrregiao;209694.0;5430.0;274.0;;;;baixa
BA;RIO DO ANTONIO;microrregiao;45709.0;586.0;240.0;;;;baixa
BA;SEBASTIÃO LARANJEIRAS;microrregiao;133706.0;778.0;15.0;;;;baixa
BA;TREMEOAL;microrregiao;162580.0;4169.0;60.0;;;;baixa
BA;URANO(;microrregiao;72084.0;1763.0;47.0;;;;baixa
BA;SENHOR DO BONFIM;mesorregiao;779730.0;28431.0;530.0;;;;baixa
BA;ANTONIO GONÇALVES;microrregiao;25897.0;1334.0;16.0;;;;baixa
BA;CALDEIRÃO GRANDE;microrregiao;79891.0;2228.0;86.0;;;;baixa
BA;.JAGUARARI;microrregiao;2732.0;44534.0;2645.0;37328.0;6858.0;;baixa
BA;MIRANGABA;microrregiao;92205.0;2940.0;;;;;baixa
BA;PINDOBAÇU;microrregiao;82429.0;4093.0;83.0;;;;baixa
BA;SAUDE;microrregiao;37179.0;1285.0;17.0;;;;baixa
BA;SENHOR DO BONFIM;microrregiao;104027.0;5505.0;176.0;;;;baixa
BA;CORREDEIRAS DO SÃO FRANCISCO;mesorregiao;421863.0;10537.0;166.0;;;;alta
BA;ABARE;microrregiao;25340.0;1033.0;15.0;;;;alta
BA;CHORROCHO;microrregiao;42311.0;1530.0;;;;;alta
BA;CURAÇA;microrregiao;126803.0;2945.0;13.0;;;;alta
BA;JUAZEIRO;microrregiao;199495.0;3396.0;132.0;;;;alta
BA;MACURURE;microrregiao;19860.0;1222.0;;;;;alta
BA;RODELAS;microrregiao;8052.0;411.0;;;;;alta
BA;LESTE BAIANO;mesorregiao;11773420.0;334744.0;7686.0;;;;baixa
BA;PIEMONTE DA DIAMANTINA;microrregiao;2109979.0;34812.0;1028.0;;;;baixa
BA;BAIXA GRANDE;microrregiao;96751.0;2778.0;21.0;;;;baixa
BA;BOA VISTA DO TUPIM;microrregiao;229187.0;1505.0;209.0;;;;baixa
BA;CAEM;microrregiao;55404.0;1547.0;61.0;;;;baixa
BA;(BIQUERA;microrregiao;115109.0;524.0;31.0;;;;baixa
BA;ITABERABA;microrregiao;215113.0;2249.0;13.0;;;;baixa
BA;JACOBINA;microrregiao;438181.0;8754.0;178.0;;;;baixa
BA;LAJEDINHO;microrregiao;68399.0;439.0;27.0;;;;baixa
BA;MACA JUBA;microrregiao;57976.0;752.0;54.0;;;;baixa
BA;MAIRI;microrregiao;129440.0;3530.0;64.0;;;;baixa
BA;MIGUEL CALMON;microrregiao;122195.0;3168.0;32.0;;;;baixa
BA;MUNDO NOVO;microrregiao;142559.0;1528.0;36.0;;;;baixa
BA;PIRITIBA;microrregiao;104996.0;1925.0;121.0;;;;baixa
BA;RUY BARBOSA;microrregiao;196973.0;1696.0;61.0;;;;baixa
BA;SERROLANOIA;microrregiao;57561.0;744.0;;;;;baixa
BA;TAPIRAMUTA;microrregiao;55032.0;728.0;14.0;;;;baixa
BA;VARZEA DO POÇO;microrregiao;25097.0;945.0;;;;;baixa
BA;SERTÃO DE CANUDOS;microrregiao;1163697.0;41944.0;236.0;;;;baixa
BA;CANSANÇÃO;microrregiao;97328.0;4992.0;37.0;;;;baixa
BA;EUCLIDES DA CUNHA;microrregiao;224210.0;7596.0;21.0;;;;baixa
BA;ITIUBA;microrregiao;;;;;;;baixa
BA;MONTE SANTO;microrregiao;164818.0;8406.0;24.0;;;;baixa
BA;QUEIMADAS;microrregiao;189319.0;4433.0;22.0;;;;baixa
BA;QUIJINGUE;microrregiao;100312.0;4265.0;14.0;;;;baixa
BA;TUCANO;microrregiao;139542.0;4533.0;61.0;;;;baixa
BA;SERRINHA;mesorregiao;39164.0;;38506.0;418.0;10310.0;;baixa
BA;ARACI s;municipio;5000.0;;4845.0;24.0;2836.0;;baixa
BA;BIRI TINGA;municipio;1986.0;;1907.0;72.0;513.0;;baixa
BA;CANDEAL;municipio;1041.0;;1004.0;34.0;1125.0;;baixa
BA;CONCEIÇÃO DO COITE s;municipio;5204.0;;5171.0;10.0;498.0;;baixa
BA;ICHU;municipio;645.0;;641.0;;;;baixa
BA;LAMARÃO;municipio;1660.0;;1645.0;10.0;37.0;;baixa
BA;RETIROLANDIA;municipio;1545.0;;1543.0;;13.0;;baixa
BA;RIACHÂO DO JACU IPE;municipio;7981.0;;7899.0;60.0;1895.0;;baixa
BA;SANTALUZ;municipio;2266.0;;2195.0;52.0;538.0;;baixa
BA;SERRINHA;mesorregiao;6745.0;;6707.0;24.0;60.0;;baixa
BA;TEOFILANDIA;municipio;2732.0;;2697.0;31.0;503.0;;baixa
BA;VALENTE;municipio;2359.0;;2252.0;97.0;726.0;;baixa
BA;FEIRA DE SANTANA;microrregiao;55893.0;;53995.0;1438.0;51664.0;;baixa
BA;AGUA FRIA;municipio;2726.0;;2545.0;173.0;80.0;;baixa
BA;ANGUERA;municipio;794.0;;761.0;22.0;336.0;;baixa
BA;ANTONIO CARDOSO;municipio;1798.0;;1663.0;127.0;1395.0;;baixa
BA;CASTRO ALVES;municipio;6570.0;;6342.0;196.0;8429.0;;baixa
BA;CORAÇÃO DE MARIA;municipio;3034.0;;2845.0;159.0;2037.0;;baixa
BA;ELISIO MEDRADO;municipio;1199.0;;1143.0;54.0;757.0;;baixa
BA;FEIRA DE SANTANA;mesorregiao;8498.0;;8324.0;117.0;2997.0;;baixa
BA;IAÇU;municipio;1752.0;;1601.0;;11126.0;;baixa
BA;IPECAETA;municipio;3349.0;;3300.0;25.0;873.0;;baixa
BA;IP IRA;municipio;8409.0;;8320.0;52.0;7902.0;;baixa
BA;IRARA;municipio;2350.0;;2203.0;137.0;1323.0;;baixa
BA;OUR I ÇANGAS;municipio;738.0;;672.0;65.0;815.0;;baixa
BA;PEDRÂO;municipio;1049.0;;976.0;69.0;141.0;;baixa
BA;SANTA BARBARA;municipio;2249.0;;2211.0;34.0;722.0;;baixa
BA;SANTANOPOLIS;municipio;2051.0;;1985.0;57.0;297.0;;baixa
BA;SANTA TERESINHA;municipio;2168.0;;2148.0;16.0;6475.0;;baixa
BA;SANTO ESTEVÂO;mesorregiao;4213.0;;4113.0;92.0;819.0;;baixa
BA;SERRA PRETA;municipio;2205.0;;2162.0;36.0;3113.0;;baixa
BA;TANQUINHO;municipio;741.0;;681.0;;18.0;;baixa
BA;JEOUIE;microrregiao;27426.0;;25989.0;995.0;42017.0;;baixa
BA;AIQUARA;municipio;395.0;;391.0;;128.0;;baixa
BA;AMARGOSA;municipio;2099.0;;58.0;19.0;426.0;;baixa
BA;BREJÕES;municipio;902.0;;867.0;18.0;2239.0;;baixa
BA;CRAVOLANDIA;municipio;388.0;;340.0;;74.0;;baixa
BA;IRAJUBA;municipio;475.0;;423.0;27.0;377.0;;baixa
BA;ITAGI;municipio;1176.0;;892.0;251.0;3264.0;;baixa
BA;ITIRUÇU;municipio;296.0;;289.0;;103.0;;baixa
BA;JAGUAQUARA;municipio;1977.0;;1946.0;21.0;638.0;;baixa
BA;JEQUIE;municipio;197.0;3056.0;265767.0;2935.0;250716.0;81.0;baixa
BA;JIQUIRIÇA;municipio;1092.0;;1075.0;13.0;566.0;;baixa
BA;JITAUNA;municipio;880.0;;855.0;20.0;941.0;;baixa
BA;LAFAIETE COUTINHO;municipio;323.0;;323.0;;;;baixa
BA;LAJE;municipio;841.0;;1733.0;78.0;262.0;;baixa
BA;MARACAS;municipio;3090.0;;2884.0;162.0;8577.0;;baixa
BA;MARCIONILIO SOUZA;municipio;925.0;;796.0;125.0;7319.0;;baixa
BA;MILAGRES;mesorregiao;612.0;;552.0;4.0;90.0;;baixa
BA;MUTUIPE;municipio;2089.0;;2071.0;11.0;282.0;;baixa
BA;NOVA ITARANA;municipio;490.0;;486.0;;;;baixa
BA;PLANAL TINO;municipio;995.0;;946.0;35.0;161.0;;baixa
BA;ANAGE;microrregiao;3095.0;920.0;110348.0;576.0;;;baixa
BA;BARRA;microrregiao;1505.0;57814.0;46461.0;7389.0;;;baixa
BA;BELO CAMPO;microrregiao;1265.0;52865.0;50443.0;677.0;;;baixa
BA;BOA NOVA;microrregiao;2205.0;35371.0;34240.0;932.0;;;baixa
BA;CAATIBA;microrregiao;871.0;65140.0;64368.0;722.0;;;baixa
BA;CANDIDO SALES;microrregiao;1053.0;11895.0;115262.0;1970.0;;;baixa
BA;DARIO MEIRA;microrregiao;1167.0;40186.0;38485.0;145.0;;;baixa
BA;MANOEL VITORINO;microrregiao;1274.0;182263.0;153813.0;5350.0;;;baixa
BA;NOVA CANAÃ;mesorregiao;877.0;59574.0;55161.0;3108.0;;;baixa
BA;PLANALTO;microrregiao;777.0;73044.0;67126.0;3382.0;;;baixa
BA;POÇÕES;microrregiao;3038.0;138047.0;130126.0;7370.0;;;baixa
BA;VITORIA DA CONQUISTA;microrregiao;5045.0;243748.0;233532.0;8651.0;;;baixa
BA;PASTORIL DE ITAPETINGA;microrregiao;4901.0;945856.0;887500.0;44643.0;;;baixa
BA;ENCRUZILHADA;microrregiao;2240.0;256549.0;246260.0;9128.0;;;baixa
BA;ITAMBE;microrregiao;657.0;155430.0;42725.0;7602.0;;;baixa
BA;ITAPETINGA;microrregiao;378.0;169136.0;1.0;;;;baixa
BA;ITARANTIM;microrregiao;750.0;191346.0;177414.0;13165.0;;;baixa
BA;MACARANI;microrregiao;392.0;123113.0;117118.0;;;;baixa
BA;MAIQUINIQUE;microrregiao;484.0;50277.0;50217.0;60.0;;;baixa
BA;SERTÃO DE PAULO AFONSO;microrregiao;13607.0;570312.0;552339.0;6958.0;;;baixa
BA;CORONEL JOÃO SA;microrregiao;2074.0;76002.0;77624.0;;;;baixa
BA;GLORIA;microrregiao;1812.0;13908.0;13510.0;83.0;;;baixa
BA;JEREMOABO;microrregiao;4951.0;294736.0;288640.0;5919.0;;;baixa
BA;PAULO AFONSO;microrregiao;1884.0;45551.0;44392.0;834.0;;;baixa
BA;PEDRO ALEXANDRE;microrregiao;1420.0;86189.0;84324.0;54.0;;;baixa
BA;SANTA BRIGIDA;microrregiao;1466.0;49923.0;43847.0;65.0;;;baixa
BA;AGRESTE DE ALAGOINHAS;microrregiao;63376.0;1192629.0;1065433.0;25802.0;;;baixa
BA;ACAJUTIBA;microrregiao;2038.0;20624.0;20447.0;174.0;;;baixa
BA;ALAGOINHAS;microrregiao;3625.0;84126.0;72364.0;1069.0;;;baixa
BA;ANTAS;microrregiao;3476.0;56626.0;56447.0;6.0;;;baixa
BA;APORA;microrregiao;3461.0;35702.0;35269.0;387.0;;;baixa
BA;ARAMARI;microrregiao;675.0;27993.0;25131.0;912.0;;;baixa
BA;C I CERO OANT AS;microrregiao;6193.0;98259.0;97344.0;889.0;;;baixa
BA;CIPO;microrregiao;931.0;14941.0;14153.0;92.0;;;baixa
BA;CRISOPbLIS;microrregiao;4241.0;48093.0;47974.0;47.0;;;baixa
BA;INHAMBUPE;microrregiao;3812.0;104577.0;76454.0;8368.0;;;baixa
BA;ITAPICURU;microrregiao;4013.0;130217.0;87174.0;4620.0;;;baixa
BA;NOVA SOURE;microrregiao;3869.0;95346.0;70118.0;5551.0;;;baixa
BA;OLINDINA;microrregiao;2284.0;53976.0;53463.0;503.0;;;baixa
BA;PARIPIRANGA;microrregiao;7602.0;102254.0;101032.0;536.0;;;baixa
BA;RIBEIRA;microrregiao;4956.0;85458.0;84676.0;407.0;;;baixa
BA;RIBEIRA DO POMBAL;microrregiao;7426.0;126296.0;118033.0;1724.0;;;baixa
BA;RIO REAL;microrregiao;995.0;54085.0;53347.0;269.0;;;baixa
BA;SATIRO DIAS;microrregiao;2779.0;54047.0;52001.0;130.0;;;baixa
BA;LITORAL NORTE BAIANO;microrregiao;5376.0;396626.0;294582.0;16372.0;;;baixa
BA;CARDEAL DA SILVA;microrregiao;176.0;24310.0;22958.0;351.0;;;baixa
BA;CONDE;microrregiao;84770.0;1071.0;32.0;;;;baixa
BA;ENTRE RIOS;microrregiao;92827.0;1422.0;34.0;;;;baixa
BA;ESPLANADA;microrregiao;98885.0;1584.0;36.0;;;;baixa
BA;ITANAGRA;microrregiao;35074.0;283.0;;;;;baixa
BA;.JANOAIRA;microrregiao;60757.0;585.0;;;;;baixa
BA;RECONCAVO BAIANO;mesorregiao;541252.0;31779.0;2282.0;;;;baixa
BA;AMELIA RODRIGUES;microrregiao;11084.0;516.0;24.0;;;;baixa
BA;ARATUIPE;microrregiao;21724.0;681.0;10.0;;;;baixa
BA;CACHOEIRA;microrregiao;28976.0;1585.0;107.0;;;;baixa
BA;CONCEIÇÃO DA FEIRA;microrregiao;10882.0;1053.0;164.0;;;;baixa
BA;CONCEIÇÃO DO ALMEIDA;microrregiao;26270.0;1729.0;120.0;;;;baixa
BA;CONCEIÇÃO DO .JACU IPE;microrregiao;9827.0;719.0;27.0;;;;baixa
BA;CRUZ DAS ALMAS;microrregiao;13208.0;1540.0;68.0;;;;baixa
BA;DOM MACEDO COSTA;microrregiao;7427.0;659.0;;;;;baixa
BA;GOVERNADOR MANGABEIRA;microrregiao;8282.0;2278.0;48.0;;;;baixa
BA;ITAPARICA;microrregiao;1262.0;239.0;;;;;baixa
BA;JAGUARIPE;microrregiao;91628.0;969.0;53.0;;;;baixa
BA;MARAGOGIPE;microrregiao;32454.0;3573.0;222.0;;;;baixa
BA;MUNIZ FERREIRA;microrregiao;988.0;356.0;43.0;;;;baixa
BA;MURITIBA;microrregiao;18787.0;2698.0;186.0;;;;baixa
BA;NAZARE;microrregiao;15488.0;550.0;34.0;;;;baixa
BA;SALINAS DA MARGARIDA;microrregiao;5955.0;64.0;46.0;;;;baixa
BA;SANTO AMARO;microrregiao;41478.0;1605.0;104.0;;;;baixa
BA;SANTO ANTONIO DE JESUS;microrregiao;30861.0;2457.0;27.0;;;;baixa
BA;SÃO FELIX;microrregiao;9338.0;665.0;145.0;;;;baixa
BA;SÃO FELIPE;microrregiao;22023.0;1880.0;616.0;;;;baixa
BA;SÃO GONÇALO DOS CAMPOS;microrregiao;27213.0;1873.0;15.0;;;;baixa
BA;SÃO SEBASTIÃO DO PASSE;microrregiao;41829.0;1399.0;98.0;;;;baixa
BA;SAPEAÇU;microrregiao;10021.0;1238.0;57.0;;;;baixa
BA;TEODORO SAMPAIO;microrregiao;20471.0;644.0;42.0;;;;baixa
BA;TERRA NOVA;microrregiao;18776.0;250.0;;;;;baixa
BA;VERA CRUZ;microrregiao;5986.0;559.0;16.0;;;;baixa
BA;CAMAÇARI;microrregiao;34180.0;2435.0;30.0;;;;baixa
BA;CANDEIAS;microrregiao;36472.0;743.0;;;;;baixa
BA;CATU;microrregiao;29335.0;863.0;127.0;;;;baixa
BA;LAURO DE FREITAS;microrregiao;410.0;45.0;;;;;baixa
BA;MATA DE SÃO JOÃO;microrregiao;36074.0;1800.0;85.0;;;;baixa
BA;PO JUCA;microrregiao;20401.0;529.0;17.0;;;;baixa
BA;SÃO FRANCISCO DO CONDE;microrregiao;907.0;864.0;8311.0;524.0;;;baixa
BA;SIMÕES FILHO;microrregiao;711.0;689.0;321.0;;;;baixa
BA;LITORAL SUL BAIANO;mesorregiao;4859931.0;72822.0;3617.0;;;;baixa
BA;TABULEIROS DE VALENÇA;microrregiao;466999.0;17558.0;763.0;;;;baixa
BA;CAIRU;microrregiao;19922.0;644.0;;;;;baixa
BA;CAMAMU;microrregiao;109260.0;3473.0;200.0;;;;baixa
BA;IBIRAPITANGA;microrregiao;34562.0;876.0;14.0;;;;baixa
BA;ITUBERA;microrregiao;56801.0;405.0;158.0;;;;baixa
BA;MARAU;microrregiao;58020.0;807.0;83.0;;;;baixa
BA;NILO PEÇANHA;microrregiao;31812.0;1027.0;2.0;;;;baixa
BA;FIRMINO ALVES;microrregiao;239.0;16573.0;15831.0;741.0;;;baixa
BA;FLORESTA AZUL;microrregiao;1007.0;30584.0;27720.0;2080.0;;;baixa
BA;IBICUI;microrregiao;956.0;21727.0;112764.0;7470.0;;;baixa
BA;IGUAI;microrregiao;686.0;71855.0;69376.0;359.0;;;baixa
BA;ITAGIBA;microrregiao;1784.0;72587.0;69726.0;2556.0;;;baixa
